vsnr;histnr;von;bis;name;wert
20230114172054874;1;20200701;20250631;antragsnummer;20230114172054847
20230114172054874;1;20200701;20250631;jahr;2020
20230114172054874;1;20200701;20250631;tkz;20200101767
20230114172054874;1;20200701;20250631;status;offen
20230114172054874;1;20200701;20250631;sra;N
20230114172054874;1;20200701;20250631;beginn;20200701
20230114172054874;1;20200701;20250631;anzahl;127.47880758286672
20230114172054874;1;20200701;20250631;laufzeit;5
20230114172054874;1;20200701;20250631;ende;20250631
20230114172054874;1;20200701;20250631;vertriebsnummer;007
20230114172054874;1;20200701;20250631;zw;12
20230114172054874;1;20200701;20250631;beitragsniveau;1.0
20230114172054874;1;20200701;20250631;provisionsniveau;1.0
20230114172054874;1;20200701;20250631;provisionMarkt;0.045
20230114172054874;1;20200701;20250631;vsnr;20230114172054874
20230114172054874;1;20200701;20250631;histnr;1
20230114172054874;1;20200701;20250631;von;20200701
20230114172054874;1;20200701;20250631;bis;20250631
20230114172054874;1;20200701;20250631;gevo;Neuzugang
20230114172054874;1;20200701;20250631;bruttojahresbeitrag;1200.0
20230114172054874;1;20200701;20250631;bruttozahljahresbeitrag;1200.0
20230114172054874;1;20200701;20250631;beitragsrabatt;0.0
20230114172054874;1;20200701;20250631;versicherungssumme;14400.0
20230114172054874;1;20200701;20250631;beitragssumme;6000.0
20230114172054874;1;20200701;20250631;beitragszuschlagFuerVerwaltung;84.00000000000001
20230114172054874;1;20200701;20250631;ak1;30.0
20230114172054874;1;20200701;20250631;ak2;24.0
20230114172054874;1;20200701;20250631;ak3;18.0
20230114172054528;1;20200701;20300631;antragsnummer;20230114172054248
20230114172054528;1;20200701;20300631;jahr;2020
20230114172054528;1;20200701;20300631;tkz;20200101709
20230114172054528;1;20200701;20300631;status;offen
20230114172054528;1;20200701;20300631;sra;N
20230114172054528;1;20200701;20300631;beginn;20200701
20230114172054528;1;20200701;20300631;anzahl;2821.443575564676
20230114172054528;1;20200701;20300631;laufzeit;10
20230114172054528;1;20200701;20300631;ende;20300631
